"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu1409","Otu1409",31,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu1413","Otu1413",31,"Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu1414","Otu1414",31,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu1417","Otu1417",31,"Firmicutes","Bacilli","Bacillales","Bacillales_unclassified","Bacillales_unclassified"
"Otu1420","Otu1420",31,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1421","Otu1421",31,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1425","Otu1425",30,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1441","Otu1441",29,"Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcaceae_unclassified"
"Otu1449","Otu1449",29,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu1452","Otu1452",28,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae_unclassified"
"Otu1457","Otu1457",28,"Bacteroidetes","Sphingobacteria","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Otu1459","Otu1459",28,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1473","Otu1473",28,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu1476","Otu1476",28,"Fusobacteria","Fusobacteria","Fusobacteriales","Leptotrichiaceae","Leptotrichiaceae_unclassified"
"Otu1478","Otu1478",27,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Otu1512","Otu1512",25,"Firmicutes","Bacilli","Bacilli_unclassified","Bacilli_unclassified","Bacilli_unclassified"
"Otu1518","Otu1518",25,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas"
"Otu1537","Otu1537",24,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu1552","Otu1552",24,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Otu1561","Otu1561",23,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillaceae_unclassified"
"Otu1574","Otu1574",23,"Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcaceae_unclassified"
"Otu1575","Otu1575",23,"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"Otu1582","Otu1582",23,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu1647","Otu1647",20,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1664","Otu1664",19,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1859","Otu1859",15,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu1925","Otu1925",13,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu4360","Otu4360",2,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridiaceae_1_unclassified"
"Otu5539","Otu5539",1,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
