"","OTU","Size","Phylum","Class","Order","Family","Genus"
"Otu0328","Otu0328",1351,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0329","Otu0329",1349,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0330","Otu0330",1346,"Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum"
"Otu0331","Otu0331",1346,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0332","Otu0332",1333,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0333","Otu0333",1308,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0334","Otu0334",1287,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0335","Otu0335",1284,"Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia"
"Otu0336","Otu0336",1279,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Collinsella"
"Otu0337","Otu0337",1277,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_incertae_sedis"
"Otu0338","Otu0338",1259,"Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystaceae_unclassified"
"Otu0339","Otu0339",1258,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia"
"Otu0340","Otu0340",1255,"Verrucomicrobia","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified","Verrucomicrobia_unclassified"
"Otu0341","Otu0341",1253,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0342","Otu0342",1234,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0343","Otu0343",1218,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Clostridium_XVIII"
"Otu0344","Otu0344",1216,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0345","Otu0345",1214,"Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Brachybacterium"
"Otu0346","Otu0346",1204,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0347","Otu0347",1197,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonellaceae_unclassified"
"Otu0348","Otu0348",1195,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseria"
"Otu0349","Otu0349",1174,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0350","Otu0350",1164,"Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter"
"Otu0351","Otu0351",1152,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0352","Otu0352",1151,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera"
"Otu0353","Otu0353",1145,"Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcus"
"Otu0354","Otu0354",1143,"Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium"
"Otu0355","Otu0355",1140,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0356","Otu0356",1136,"Firmicutes","Clostridia","Clostridiales","Incertae_Sedis_XI","Murdochiella"
"Otu0357","Otu0357",1114,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0358","Otu0358",1101,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0359","Otu0359",1050,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus"
"Otu0360","Otu0360",1049,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0361","Otu0361",1046,"Bacteroidetes","Flavobacteria","Flavobacteriales","Cryomorphaceae","Fluviicola"
"Otu0362","Otu0362",1046,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0363","Otu0363",1040,"Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"Otu0364","Otu0364",1007,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0365","Otu0365",998,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0366","Otu0366",994,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae_unclassified"
"Otu0367","Otu0367",988,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0368","Otu0368",976,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0369","Otu0369",950,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0370","Otu0370",946,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0371","Otu0371",943,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus"
"Otu0372","Otu0372",942,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Clostridiales_Incertae_Sedis_XI_unclassified"
"Otu0373","Otu0373",932,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0374","Otu0374",926,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0375","Otu0375",923,"Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella"
"Otu0376","Otu0376",913,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0377","Otu0377",907,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0378","Otu0378",900,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0379","Otu0379",890,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0380","Otu0380",881,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0381","Otu0381",877,"Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcales_unclassified","Myxococcales_unclassified"
"Otu0382","Otu0382",876,"Actinobacteria","Actinobacteria","Actinomycetales","Dermabacteraceae","Dermabacter"
"Otu0383","Otu0383",874,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0384","Otu0384",874,"Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"Otu0385","Otu0385",872,"Bacteroidetes","Sphingobacteria","Sphingobacteriales","Chitinophagaceae","Segetibacter"
"Otu0386","Otu0386",872,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0387","Otu0387",868,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0388","Otu0388",846,"Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Iamia"
"Otu0389","Otu0389",841,"Fusobacteria","Fusobacteria","Fusobacteriales","Leptotrichiaceae","Leptotrichiaceae_unclassified"
"Otu0390","Otu0390",825,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium"
"Otu0391","Otu0391",820,"Firmicutes","Bacilli","Lactobacillales","Lactobacillales_unclassified","Lactobacillales_unclassified"
"Otu0392","Otu0392",819,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa"
"Otu0393","Otu0393",819,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus"
"Otu0394","Otu0394",815,"Fusobacteria","Fusobacteria","Fusobacteriales","Leptotrichiaceae","Leptotrichiaceae_unclassified"
"Otu0395","Otu0395",811,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0396","Otu0396",801,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0397","Otu0397",791,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0398","Otu0398",789,"Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus"
"Otu0399","Otu0399",787,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0400","Otu0400",787,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas"
"Otu0401","Otu0401",776,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0402","Otu0402",774,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0403","Otu0403",771,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0404","Otu0404",765,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0405","Otu0405",756,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0406","Otu0406",749,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0407","Otu0407",748,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0408","Otu0408",745,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_incertae_sedis"
"Otu0409","Otu0409",744,"Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutaceae_unclassified"
"Otu0410","Otu0410",742,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0411","Otu0411",741,"Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XI","Gemella"
"Otu0412","Otu0412",741,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium"
"Otu0413","Otu0413",739,"Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma"
"Otu0414","Otu0414",738,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0415","Otu0415",732,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0416","Otu0416",731,"Proteobacteria","Betaproteobacteria","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified","Betaproteobacteria_unclassified"
"Otu0417","Otu0417",729,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0418","Otu0418",721,"Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu0419","Otu0419",720,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb"
"Otu0420","Otu0420",714,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0421","Otu0421",702,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu0422","Otu0422",693,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0423","Otu0423",688,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_incertae_sedis"
"Otu0424","Otu0424",686,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Slackia"
"Otu0425","Otu0425",681,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0426","Otu0426",679,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Catenibacterium"
"Otu0427","Otu0427",675,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae_unclassified"
"Otu0428","Otu0428",672,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0429","Otu0429",655,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0430","Otu0430",651,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0431","Otu0431",644,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0432","Otu0432",639,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0433","Otu0433",636,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0434","Otu0434",625,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0435","Otu0435",620,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Allisonella"
"Otu0436","Otu0436",611,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0437","Otu0437",609,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0438","Otu0438",608,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0439","Otu0439",603,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0440","Otu0440",599,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Coprococcus"
"Otu0441","Otu0441",597,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0442","Otu0442",595,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0443","Otu0443",594,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0444","Otu0444",591,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0445","Otu0445",591,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Akkermansia"
"Otu0446","Otu0446",587,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinobaculum"
"Otu0447","Otu0447",578,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0448","Otu0448",578,"Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Selenomonas"
"Otu0449","Otu0449",577,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0450","Otu0450",575,"Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu0451","Otu0451",565,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0452","Otu0452",565,"Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus"
"Otu0453","Otu0453",565,"Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcaceae_unclassified"
"Otu0454","Otu0454",564,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_incertae_sedis"
"Otu0455","Otu0455",559,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella"
"Otu0456","Otu0456",558,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0457","Otu0457",556,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0458","Otu0458",554,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia"
"Otu0459","Otu0459",552,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0460","Otu0460",552,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0461","Otu0461",552,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0462","Otu0462",551,"Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Ureaplasma"
"Otu0463","Otu0463",549,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis"
"Otu0464","Otu0464",543,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0465","Otu0465",538,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_unclassified","Bacteroidales_unclassified"
"Otu0466","Otu0466",537,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium"
"Otu0467","Otu0467",537,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Fastidiosipila"
"Otu0468","Otu0468",536,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"Otu0469","Otu0469",535,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0470","Otu0470",535,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0471","Otu0471",534,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0472","Otu0472",532,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0473","Otu0473",532,"Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonadaceae_unclassified"
"Otu0474","Otu0474",526,"Actinobacteria","Actinobacteria","Coriobacteriales","Coriobacteriaceae","Coriobacteriaceae_unclassified"
"Otu0475","Otu0475",524,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0476","Otu0476",523,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0477","Otu0477",522,"Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"Otu0478","Otu0478",516,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0479","Otu0479",511,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0480","Otu0480",511,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0481","Otu0481",508,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus"
"Otu0482","Otu0482",506,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0483","Otu0483",504,"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"Otu0484","Otu0484",498,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0485","Otu0485",495,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia"
"Otu0486","Otu0486",494,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetales_unclassified","Actinomycetales_unclassified"
"Otu0487","Otu0487",493,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0488","Otu0488",492,"Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"Otu0489","Otu0489",486,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0490","Otu0490",484,"Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu0491","Otu0491",483,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0492","Otu0492",482,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0493","Otu0493",480,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0494","Otu0494",475,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0495","Otu0495",473,"Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomycetaceae_unclassified"
"Otu0496","Otu0496",472,"Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Neisseriaceae_unclassified"
"Otu0497","Otu0497",470,"Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium"
"Otu0498","Otu0498",469,"Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Micrococcaceae_unclassified"
"Otu0499","Otu0499",469,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0500","Otu0500",462,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0501","Otu0501",462,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0502","Otu0502",461,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"Otu0503","Otu0503",460,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0504","Otu0504",458,"Actinobacteria","Actinobacteria","Actinomycetales","Brevibacteriaceae","Brevibacterium"
"Otu0505","Otu0505",457,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0506","Otu0506",455,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0507","Otu0507",454,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0508","Otu0508",454,"Firmicutes","Clostridia","Clostridia_unclassified","Clostridia_unclassified","Clostridia_unclassified"
"Otu0509","Otu0509",453,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Oscillibacter"
"Otu0510","Otu0510",452,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0511","Otu0511",451,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_unclassified","Burkholderiales_unclassified"
"Otu0512","Otu0512",448,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0513","Otu0513",447,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0514","Otu0514",446,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0515","Otu0515",444,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0516","Otu0516",444,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0517","Otu0517",442,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0518","Otu0518",442,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0519","Otu0519",435,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0520","Otu0520",432,"Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus"
"Otu0521","Otu0521",431,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0522","Otu0522",428,"Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonadaceae_unclassified"
"Otu0523","Otu0523",428,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0524","Otu0524",428,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0525","Otu0525",427,"Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified"
"Otu0526","Otu0526",427,"Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto"
"Otu0527","Otu0527",425,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0528","Otu0528",422,"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes"
"Otu0529","Otu0529",421,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0530","Otu0530",415,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0531","Otu0531",413,"Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Pasteurellaceae_unclassified"
"Otu0532","Otu0532",413,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0533","Otu0533",412,"Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Otu0534","Otu0534",412,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0535","Otu0535",411,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"Otu0536","Otu0536",411,"Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu0537","Otu0537",407,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0538","Otu0538",406,"Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio"
"Otu0539","Otu0539",406,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0540","Otu0540",403,"Firmicutes","Clostridia","Clostridiales","Clostridiales_unclassified","Clostridiales_unclassified"
"Otu0541","Otu0541",402,"Actinobacteria","Actinobacteria","Actinomycetales","Corynebacteriaceae","Corynebacterium"
"Otu0542","Otu0542",401,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu0543","Otu0543",399,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0544","Otu0544",398,"Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
